price_per_month,metro_nearest_time,total_area,floor,has_bath_flg,has_shower_flg,has_internet_flg,has_ac_flg,has_room_furniture_flg,has_kitchen_furniture_flg,has_dishwasher_flg,has_washer_flg,has_tv_flg,has_fridge_flg,utility_fixed_bill,utility_usage_bill_flg,utility_counters_extra_flg,deposit,comission,prepayment_months_cnt,rent_term_months_cnt,combined_bathrooms_cnt,separate_bathrooms_cnt,repair_cat,freight_elevators_cnt,passenger_elevators_cnt,parking_cat,heating_cat,balcony_cnt,loggia_cnt,has_garbage_chute_flg,has_concierge_flg,entrances_cnt,individual_project_flg,era_cat,house_type_monolithic_flg,house_type_monolithic_brick_flg,house_type_panel_flg,district_krasnogvardeysky_flg,district_krasnoselsky_flg,district_moskovsky_flg,district_nevsky_flg,district_other_flg,district_primorsky_flg,district_vyborgsky_flg
42500,11,39.0,0.85,1,0,1,0,1,1,0,1,1,1,0,1,1,50000,0.0,1,12,1,0,1,1,1,1,1,1,1,0,0,17,1,4,0,1,0,0,1,0,0,0,0,0
60000,19,50.0,0.17,0,1,1,0,1,1,1,1,1,1,8000,0,1,50000,0.0,1,3,1,0,1,0,0,0,1,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
33000,17,25.0,0.26,0,1,1,0,1,1,0,1,1,1,0,1,1,25000,0.0,1,3,1,0,2,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0
120000,11,54.5,0.56,1,0,1,1,1,1,1,1,0,1,7000,0,1,120000,0.5,1,12,1,0,3,1,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
40000,18,53.0,0.44,0,0,1,0,1,1,1,1,1,1,6000,0,1,40000,0.5,0,12,1,0,2,0,2,1,1,0,0,0,0,7,0,2,0,0,1,0,0,0,0,1,0,0
35000,25,46.0,0.4,0,1,1,0,1,1,1,1,0,1,2500,0,1,32000,0.5,1,12,1,0,2,1,2,2,1,0,1,0,0,6,0,4,0,0,0,0,0,0,1,0,0,0
36000,12,25.0,0.7,0,1,0,1,1,1,0,1,1,1,2200,0,1,33000,0.0,1,12,1,0,2,1,3,0,3,0,1,0,0,3,1,4,0,0,1,1,0,0,0,0,0,0
79000,15,50.0,0.33,1,0,1,1,1,1,1,1,1,1,6500,0,1,85000,0.0,1,3,1,0,3,1,2,2,3,0,1,0,0,11,1,4,0,0,0,0,0,0,0,1,0,0
280000,5,254.0,0.86,0,1,1,1,1,1,1,1,1,1,25000,0,1,280000,0.0,1,12,2,0,3,0,1,1,1,1,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0
29000,17,26.0,0.8,0,1,1,0,1,1,0,1,0,1,3500,0,1,29000,0.5,1,12,1,0,2,1,0,2,0,0,1,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0
33000,16,35.0,0.67,1,0,1,0,1,1,0,1,0,1,4000,0,1,33000,0.7,1,12,0,1,2,0,1,1,1,0,1,0,0,7,0,2,0,0,1,0,0,0,0,1,0,0
50000,13,41.0,0.16,1,0,1,0,1,1,0,1,1,1,4900,0,1,50000,0.0,1,3,1,0,3,2,1,1,1,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,1
60000,5,70.0,0.73,1,0,1,0,1,1,1,1,1,1,5000,0,1,60000,0.5,1,12,0,1,2,1,2,1,3,0,1,0,0,3,0,3,0,1,0,0,0,0,0,0,1,0
21000,7,31.0,0.8,1,0,1,0,1,1,0,0,0,1,4000,0,1,21000,0.8,1,12,0,0,1,0,0,1,1,0,0,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0
43000,12,37.0,1.0,1,0,0,0,1,1,0,1,0,1,3000,0,1,43000,0.0,1,12,1,0,1,1,2,2,1,0,1,1,0,5,1,4,0,1,0,0,0,0,1,0,0,0
21000,8,15.0,1.0,0,0,0,0,1,0,0,1,0,1,0,1,1,21000,0.0,1,3,0,0,2,0,2,0,3,0,0,0,0,2,1,4,0,1,0,1,0,0,0,0,0,0
35000,6,16.2,0.22,0,1,0,0,1,1,0,1,1,1,2500,0,1,35000,0.6,1,12,1,0,1,0,1,1,1,0,0,1,0,10,0,2,0,0,1,0,0,0,0,0,1,0
50000,3,27.0,1.0,1,0,1,1,1,1,1,1,1,1,0,1,1,50000,0.0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
35000,8,38.0,0.92,0,0,0,0,1,0,0,1,1,1,3000,0,1,35000,0.8,1,12,0,0,1,0,0,0,1,0,0,0,0,6,1,4,1,0,0,0,1,0,0,0,0,0
45000,24,34.0,0.75,1,0,1,0,1,0,1,1,1,1,3500,0,1,45000,0.5,1,12,1,0,2,1,1,1,1,0,1,0,0,7,1,4,1,0,0,0,0,0,1,0,0,0
43000,3,28.0,1.0,0,1,1,1,1,1,1,1,1,1,7900,0,1,15000,0.0,1,3,1,0,2,0,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
27000,9,25.0,0.15,0,1,1,0,1,1,0,1,1,1,0,1,1,27000,0.0,1,12,1,0,2,1,2,1,1,1,0,0,0,9,0,4,0,1,0,0,0,0,0,0,1,0
